#
#  ecocyc 20.0 Pathways link table generated on Mon Apr 18, 2016
#
ECASYN-PWY	enterobacterial common antigen biosynthesis	ECA biosynthesis
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	dTDP-4-acetamido-&alpha;-D-fucose biosynthesis	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
COLANSYN-PWY	colanic acid building blocks biosynthesis	
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
PWY-5659	GDP-mannose biosynthesis	
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	
PWY-7344	UDP-D-galactose biosynthesis	
PWY-7343	UDP-glucose biosynthesis	UDP-D-glucose biosynthesis	UDP-&alpha;-D-glucose biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
GLUCONEO-PWY	gluconeogenesis I	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis	
GLUTORN-PWY	L-ornithine biosynthesis I	
PWY-5155	&beta;-alanine biosynthesis III	
PHESYN	L-phenylalanine biosynthesis I	
LEUSYN-PWY	L-leucine biosynthesis	
GLYSYN-PWY	glycine biosynthesis I	
TYRSYN	L-tyrosine biosynthesis I	
CYSTSYN-PWY	L-cysteine biosynthesis I	
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PROSYN-PWY	L-proline biosynthesis I	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
HISTSYN-PWY	L-histidine biosynthesis	
VALSYN-PWY	L-valine biosynthesis	
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
GLUTSYN-PWY	L-glutamate biosynthesis I	
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	L-asparagine - L-aspartate pathway
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY0-1325	superpathway of L-asparagine biosynthesis	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
METSYN-PWY	L-homoserine and L-methionine biosynthesis	
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	SAM cycle	activated methyl cycle	AMC
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
TRPSYN-PWY	L-tryptophan biosynthesis	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
SERSYN-PWY	L-serine biosynthesis	
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY0-1021	L-alanine biosynthesis III	
PWY0-1061	superpathway of L-alanine biosynthesis	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)	<i>p</i>-hydroxybenzoate biosynthesis II
PWY-6164	3-dehydroquinate biosynthesis I	
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
PWY0-781	aspartate superpathway	
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	D-glucarate and D-galactarate catabolism super-pathway	aldarate catabolism
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	fucose and rhamnose catabolism
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	galacturonate and glucuronate catabolism	superpathway of galacturonate and glucuronate degradation
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	
